Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
3,BA853,British Airways,PRG,Prague,07:00 22/10/2016,06:44 22/10/2016,,06:51 22/10/2016,,,154,111,73
2,UA931,United Airlines,ORD,Chicago,07:30 22/10/2016,06:45 22/10/2016,,06:53 22/10/2016,,,183,131,29
5,BA246,British Airways,GRU,Sao Paulo,06:20 22/10/2016,06:47 22/10/2016,,06:55 22/10/2016,,,219,195,98
2,SQ306,Singapore Airlines,SIN,Singapore,06:45 22/10/2016,06:49 22/10/2016,,06:57 22/10/2016,,,264,229,17
2,TG910,Thai Airways International,BKK,Bangkok,06:15 22/10/2016,06:50 22/10/2016,,06:56 22/10/2016,,,507,417,
5,BA935,British Airways,DUS,Dusseldorf,06:50 22/10/2016,06:51 22/10/2016,,06:59 22/10/2016,,,133,66,34
2,EW4462,Eurowings,HAM,Hamburg,07:05 22/10/2016,06:51 22/10/2016,,06:59 22/10/2016,,,90,62,7
3,DL401,Delta Air Lines,JFK,New York,06:50 22/10/2016,06:53 22/10/2016,,07:00 22/10/2016,,,211,117,4
5,BA709,British Airways,ZRH,Zurich,07:00 22/10/2016,06:55 22/10/2016,,07:03 22/10/2016,,,129,106,45
5,BA901,British Airways,FRA,Frankfurt,07:15 22/10/2016,06:55 22/10/2016,,,,,143,,
2,4U8460,Germanwings,TXL,Berlin,07:10 22/10/2016,06:56 22/10/2016,,07:04 22/10/2016,,,138,117,16
5,BA981,British Airways,TXL,Berlin,07:10 22/10/2016,06:57 22/10/2016,,07:05 22/10/2016,,,158,159,95
4,SU2570,Aeroflot Russian Airlines,SVO,Moscow,07:00 22/10/2016,06:59 22/10/2016,,07:11 22/10/2016,,,140,54,2
5,BA066,British Airways,PHL,Philadelphia,05:35 22/10/2016,07:00 22/10/2016,,07:08 22/10/2016,,,226,199,121
3,AA730,American Airlines,CLT,Charlotte,06:40 22/10/2016,07:02 22/10/2016,,07:09 22/10/2016,,,291,197,71
5,BA116,British Airways,JFK,New York,07:15 22/10/2016,07:03 22/10/2016,,07:11 22/10/2016,,,275,258,146
5,BA172,British Airways,JFK,New York,07:55 22/10/2016,07:05 22/10/2016,,,,,275,265,74
2,EI152,Aer Lingus,DUB,Dublin,07:05 22/10/2016,07:05 22/10/2016,,,,,174,,28
5,BA803,British Airways,GOT,Gothenburg,07:05 22/10/2016,07:06 22/10/2016,,07:14 22/10/2016,,,160,139,85
2,LX316,Swiss,ZRH,Zurich,07:00 22/10/2016,07:07 22/10/2016,,07:15 22/10/2016,,,180,162,1
